Municipality,Enrollment 2019,Update Date,Choice,Number of Days In-Person K,Number of Days In-Person 1,Number of Days In-Person 2,Number of Days In-Person 3,Number of Days In-Person 4,Number of Days In-Person 5,Number of Days In-Person 6,Number of Days In-Person 7,Number of Days In-Person 8,Number of Days In-Person 9,Number of Days In-Person 10,Number of Days In-Person 11,Number of Days In-Person 12,ScheduleK,Schedule1,Schedule2,Schedule3,Schedule4,Schedule5,Schedule6,Schedule7,Schedule8,Schedule9,Schedule10,Schedule11,Schedule12
King and Queen,833,9222020,All Hybrid,2,2,2,2,2,2,2,2,1.7,1.7,1.7,1.7,1.7,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,ABCAB,ABCAB,ABCAB,ABCAB,ABCAB
Richmond County,1301,9222020,All Hybrid,4,4,4,4,4,4,4,4,4,4,4,4,4,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R
Westmoreland,1603,9222020,All Hybrid,4,4,4,4,4,4,4,4,4,4,4,4,4,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R,alt week Friday R
Northumberland,1279,9222020,All Hybrid,2,2,2,2,2,2,2,2,2,2,2,2,2,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB,AARBB
Northampton,1520,9222020,All Hybrid,2,2,2,2,2,2,2,2,2,2,2,2,2,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB,ABRAB
Accomack,5162,9222020,All Hybrid,2,2,2,2,2,2,2,2,2,2,2,2,2,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR,ABABR
Lee,3192,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Wise,5636,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Washington,7052,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Smyth,4269,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Wythe,3982,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Galax,1338,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick,2558,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Henry,7381,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Martinsville,1930,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Roanoke,14049,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Lynchburg,8238,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Halifax,4896,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlotte,1763,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunenburg,1590,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Edward,2057,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottoway,1990,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunswick,1538,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Greensville,2223,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Sussex,1095,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Southampton,2803,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin,1078,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Surry,738,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Suffolk,14323,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesapeake,41597,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Virginia Beach,68706,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk,29837,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Portsmouth,13991,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,19590,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
Newport News,28655,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
York,13184,9222020,Fully Remote,,,,,,,,,,,,,,,,,,,,,,,,,,
